Auñamendiak Pirineoak	Pirinioak
Bizkaiko Golkoa	Bizkaiko golkoa a
Deba Behea	Debabarrena -a
Deba Garaia	Debagoiena -a
Martitz martiztar	Marte martetar
abonu abono	ongarri abonamendu
agi denez agi zenez	agidanez
aidanez agi	agidanez agidanean
aina haina	adina
aingeru zaindari	aingeru zaintzaile
amorrai amorrain	amuarrain
argitaldi argitaralpen	argitaraldi
asanblada asanblea	biltzar batzar
asper egin	asper-asper egin
astilero astillero	ontziola
asunto asuntu	kontu gai
atxakia aitzaki	aitzakia
autonomi elkarte	autonomia-
banan-bana bana-bana	banan-banan
bangoardia banguardia	abangoardia
bataz beste	batez beste
batxilerato batxillergo	batxilergo
betosko betozko	bekozko
bideokaset bideo-kasete	bideokasete
cassette kaset	kasete
dekodetu deskodifikatu	deskodetu
deskodifikatu dekodetu	deskodetu
diabetis diabete	diabetes
digeriketa liseriketa	digestio
ebaluaketa ebaluapen	ebaluazio
enpresari o	enpresaburu
errazional razional	arrazional
errito rito	erritu
eskalera eskilera	eskailera
eskilera eskalera	eskailera
eskubi eskui	eskuin
eskut scout	eskaut
estribillo estribilo	lelo errepika
etxeko andre	etxekoandre
examina etsamin	etsamina
forman egon	fleitean izan sasoian
frantsesera frantzes	frantses
galazi galerazi	galarazi
gaur eguneko	gaur egungo
gerrila gerrilari	gerrilla gerrillari
goilare kutxare kutxara	koilara
grekera gerkera	greko greziera
gutxi gora-behera	gutxi gorabehera
haize egokitu	aire girotu
haize girotu	aire girotu
haize girotu aire egokitu	aire girotu
haltzari muble mueble	altzari
harri bitxi	harribitxi
herejia herexia	heresia
herexe herese	heretiko
herstu hestu	estu
hurrena arte	hurren arte
igaz ihaz	iaz
ihaz igaz	iaz
ikurriñ a	ikurrin
imajin imagina	imajina
ingelera ingles	ingeles
instant ixtante	istant
iparrekialde ipar	ipar-ekialde
itoiti itote	itaxur itogin
itsas korronte	itsaslaster
ixil ixildu	isil isildu
izkutu eskutu	ezkutu
jatsi jeitsi jetxi	jaitsi
jeitsi jetxi jatsi	jaitsi
jetxi jeitsi jatsi	jaitsi
kapaza izan	kapaz izan
karretila karretilla	eskorga
kartesiano cartesiar	kartesiar
kaset cassette	kasete
koadrila koadrilla	kuadrilla
koalitate kualitate	nolakotasun
konbit e	gonbit
kontutan hartu	kontuan hartu
kosta ala kosta	kosta ahala kosta
kualitate koalitate	nolakotasun
labe handi	labe garai
larehun lauehun	laurehun
letra nagusi	maiuskula letra larri
marioneta txontxongilo	txotxongilo
merkatal zentro	merkataritza-
moeta mueta	mota
muble mueble	altzari
mueta mota	mota
narrats narraz	narras
orroa orroe	orro
ortze urtzi	ortzi
peluka perruka	ileorde
perruka peluka	ileorde
pirinear piriniar	piriniotar
piztarazi piztuarazi	pitzarazi
razional errazional	arrazional
rito errito	erritu
rugby rugbi	errugbi
scout eskut	eskaut
serraila zerraila	sarraila
sirimiri xirimiri	zirimiri
xigor tu	txigor tu
ximaur zimaur	simaur
xirimiri sirimiri	zirimiri
zerbieta zerbilleta	ahozapi
zerraila serraila	sarraila
ziztor txistorra	txistor
