aitzaki	aitzakia
amorrai	amuarrain
amorrain	amuarrain
argitaldi	argitaraldi
argitaralpen	argitaraldi
astilero	ontziola
astillero	ontziola
aterramendu	atarramentu
bangoardia	abangoardia
banguardia	abangoardia
batxilerato	batxilergo
batxillergo	batxilergo
beamontes	beaumontar
betosko	bekozko
betozko	bekozko
bideokaset	bideokasete
cassette	kasete
dekodetu	deskodetu
deskodifikatu	deskodetu
diabete	diabetes
diabetis	diabetes
ebaluaketa	ebaluazio
ebaluapen	ebaluazio
enpresari	enpresaburu
errazional	arrazional
errito	erritu
eskalera	eskailera
eskilera	eskailera
eskubi	eskuin
eskui	eskuin
etsamin	etsamina
frantsesera	frantses
frantzes	frantses
galazi	galarazi
galerazi	galarazi
gara	geltoki
herejia	heresia
herese	heretiko
herexe	heretiko
herexia	heresia
herstu	estu
hestu	estu
igaz	iaz
ihaz	iaz
ikurriñ	ikurrin
imagina	imajina
imajin	imajina
ingelera	ingeles
ingles	ingeles
jatsi	jaitsi
jeitsi	jaitsi
jetxi	jaitsi
karretila	eskorga
karretilla	eskorga
kartesiano	kartesiar
kaset	kasete
koadrila	kuadrilla
koadrilla	kuadrilla
koalitate	nolakotasun
konbit	gonbit
kualitate	nolakotasun
kutxara	koilara
larehun	laurehun
lauehun	laurehun
marioneta	txotxongilo
moeta	mota
muble	altzari
mueble	altzari
mueta	mota
narrats	narras
narraz	narras
orroa	orro
orroe	orro
ortze	ortzi
peluka	ileorde
perruka	ileorde
pirinear	piriniotar
piriniar	piriniotar
piztarazi	pitzarazi
piztuarazi	pitzarazi
razional	arrazional
rito	erritu
rugbi	errugbi
rugby	errugbi
scout	eskaut
serraila	sarraila
sirimiri	zirimiri
txistorra	txistor
txontxongilo	txotxongilo
xirimiri	zirimiri
zerbieta	ahozapi
zerbilleta	ahozapi
zerraila	sarraila
