agi denez	agidanez
agi zenez	agidanez
aingeru zaindari	aingeru zaintzaile
aire egokitu	aire girotu
aire-bidaia	aireko bidaia
aire-garraio	aireko garraio
amona mantalgorri	amona mantangorri
asper egin	asper-asper egin
autonomi elkarte	autonomia-elkarte
bana-bana	banan-banan
banan banan	banan-banan
banan-bana	banan-banan
bataz beste	batez beste
bideo-kasete	bideokasete
bideo-zinta	bideokasete
bular-angina	bularreko angina
elektro-tresna	tresna elektriko
etxeko andre	etxekoandre
euskaldun-berri	euskaldun berri
gaur eguneko	gaur egungo
gutxi gora-behera	gutxi gorabehera
haize egokitu	aire girotu
haize girotu	aire girotu
harri bitxi	harribitxi
hortz-ore	hortzetako pasta
hurrena arte	hurren arte
ipar ekialde	ipar-ekialde
itsas korronte	itsaslaster
kapaza izan	kapaz izan
kontutan hartu	kontuan hartu
kosta ala kosta	kosta ahala kosta
labe handi	labe garai
merkatal zentro	merkataritza-zentro
