adan	adam	p28L	SINGLE
auñamendiak	pirinioak	p30R	SINGLE
belen	betleem	p31R	SINGLE
belen	betleem	p32L	SINGLE
big-bang	big bang	p32L	MULTI
deba behea	debabarrena	p32R	MULTI
deba garaia	debagoiena	p32R	MULTI
donejakue	donejakue bidea	p33R	SINGLE
donibane	donibane lohizune	p33R	SINGLE
eba	eva	p33R	SINGLE
eba	eva	p36L	SINGLE
ernio	hernio	p34R	SINGLE
ernio	hernio	p38L	SINGLE
ertamerika	erdialdeko amerika	p34R	SINGLE
ertamerika	erdialdeko amerika	p35L	SINGLE
ertaroa	erdi aroa	p34R	SINGLE
ertaroa	erdi aroa	p35L	SINGLE
etxegarate	etzegarate	p36L	SINGLE
gorbea	gorbeia	p37L	SINGLE
haizkorri	aizkorri	p29L	SINGLE
haizkorri	aizkorri	p37R	SINGLE
himalaya	himalaia	p38L	SINGLE
jerusalen	jerusalem	p40R	SINGLE
jesukristo	jesu kristo	p40R	SINGLE
kalagorria	calahorra	p32R	SINGLE
kalagorria	calahorra	p40R	SINGLE
kanboia	kanbodia	p40R	SINGLE
ozkabarte	santo domingo de la	p44L	SINGLE
pabe	paue	p44L	SINGLE
pabe	paue	p44R	SINGLE
pertsia	persia	p44R	SINGLE
pirineoak	pirinioak	p30R	SINGLE
tantzania	tanzania	p46L	SINGLE
troya	troia	p46R	SINGLE
ukrania	ukraina	p46R	SINGLE
